Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species,CODE
Antarctica,0,0,0,0,0,0,0,1,7,8,0,5,162,35,210,animal,ATA
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plant,ATA
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ATA
Åland Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,ALA
Bouvet Island,0,0,0,0,0,0,0,0,2,2,0,0,93,3,98,animal,BVT
Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,plant,BVT
Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BVT
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,fungus,AFG
French Southern Territories,1,0,1,0,0,1,3,10,16,29,0,7,977,54,"1,068",animal,ATF
French Southern Territories,0,0,0,0,0,0,0,1,0,1,0,0,7,0,8,plant,ATF
French Southern Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ATF
Albania,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,fungus,ALB
Heard Island and McDonald Islands,0,0,0,0,0,0,0,4,9,13,0,1,125,6,145,animal,HMD
Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,plant,HMD
Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,HMD
Algeria,0,0,0,0,0,0,0,0,2,2,0,1,3,0,6,fungus,DZA
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,4,5,9,0,6,195,12,222,animal,SGS
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,plant,SGS
South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,SGS
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,ASM
Anguilla,1,0,1,0,0,1,9,14,35,58,0,23,"1,156",67,"1,305",animal,AIA
Anguilla,0,0,0,0,0,0,1,1,1,3,0,0,96,0,99,plant,AIA
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,AIA
Andorra,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,fungus,AND
Antigua and Barbuda,3,0,3,0,0,3,12,14,37,63,0,29,"1,274",68,"1,437",animal,ATG
Antigua and Barbuda,0,0,0,0,0,0,0,2,1,3,0,1,180,1,185,plant,ATG
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ATG
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,AGO
Aruba,0,0,0,0,0,0,7,10,30,47,0,23,"1,111",55,"1,236",animal,ABW
Aruba,0,0,0,0,0,0,0,2,3,5,0,1,65,0,71,plant,ABW
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ABW
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,AIA
Bahamas,2,0,2,1,0,3,14,22,52,88,0,41,"1,711",116,"1,958",animal,BHS
Bahamas,0,0,0,0,0,0,2,13,6,21,0,10,235,3,269,plant,BHS
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BHS
Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,ATA
Barbados,1,0,1,3,0,4,13,14,35,62,0,32,"1,277",70,"1,442",animal,BRB
Barbados,0,0,0,0,0,0,0,1,3,4,0,0,138,2,144,plant,BRB
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BRB
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,ATG
Bermuda,5,0,5,1,1,7,31,12,30,73,0,25,947,70,"1,120",animal,BMU
Bermuda,0,1,1,0,0,1,2,5,1,8,0,1,42,1,53,plant,BMU
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BMU
Argentina,0,0,0,0,0,0,5,4,10,19,0,4,30,3,56,fungus,ARG
"Bonaire, Sint Eustatius and Saba",1,0,1,0,0,1,11,12,42,65,0,25,"1,232",75,"1,398",animal,BES
"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,2,4,6,0,1,151,0,158,plant,BES
"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BES
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,fungus,ARM
Cayman Islands,2,0,2,0,0,2,11,19,32,62,0,32,"1,182",70,"1,348",animal,CYM
Cayman Islands,0,0,0,0,0,0,11,7,5,23,0,4,163,3,193,plant,CYM
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,CYM
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,ABW
Cuba,7,0,7,3,0,10,37,69,82,188,0,69,"1,782",130,"2,176",animal,CUB
Cuba,8,1,9,0,0,9,31,66,90,187,0,13,539,4,752,plant,CUB
Australia,0,0,0,0,0,0,1,5,7,13,0,2,12,3,30,fungus,AUS
Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,CUB
Curaçao,0,0,0,0,0,0,10,14,36,60,0,24,"1,125",77,"1,286",animal,CUW
Curaçao,0,0,0,0,0,0,0,1,3,4,0,1,88,0,93,plant,CUW
Austria,0,0,0,0,0,0,0,6,40,46,0,21,39,1,107,fungus,AUT
Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,CUW
Dominica,1,0,1,1,0,2,11,17,37,65,0,34,"1,306",72,"1,478",animal,DMA
Dominica,0,0,0,0,0,0,1,3,8,12,0,3,234,3,252,plant,DMA
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,DMA
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,fungus,AZE
Dominican Republic,9,0,9,6,0,15,32,62,66,160,0,56,"1,462",79,"1,766",animal,DOM
Dominican Republic,0,0,0,1,0,1,7,16,30,53,0,8,428,8,497,plant,DOM
