,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species
0,Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
1,Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
2,French Southern Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
3,Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
4,South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
5,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
6,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
7,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
8,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
9,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
10,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
11,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
12,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
13,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
14,Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
15,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
16,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
17,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
18,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
19,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
20,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
21,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
22,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
23,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
24,Saint Barthélemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
25,Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
26,Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
27,Saint Martin (French part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
28,Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
29,Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
30,Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
31,Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist
