,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species
0,Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plant
1,Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,plant
2,French Southern Territories,0,0,0,0,0,0,0,1,0,1,0,0,7,0,8,plant
3,Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,plant
4,South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,plant
5,Anguilla,0,0,0,0,0,0,1,1,1,3,0,0,96,0,99,plant
6,Antigua and Barbuda,0,0,0,0,0,0,0,2,1,3,0,1,180,1,185,plant
7,Aruba,0,0,0,0,0,0,0,2,3,5,0,1,65,0,71,plant
8,Bahamas,0,0,0,0,0,0,2,13,6,21,0,10,235,3,269,plant
9,Barbados,0,0,0,0,0,0,0,1,3,4,0,0,138,2,144,plant
10,Bermuda,0,1,1,0,0,1,2,5,1,8,0,1,42,1,53,plant
11,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,2,4,6,0,1,151,0,158,plant
12,Cayman Islands,0,0,0,0,0,0,11,7,5,23,0,4,163,3,193,plant
13,Cuba,8,1,9,0,0,9,31,66,90,187,0,13,539,4,752,plant
14,Curaçao,0,0,0,0,0,0,0,1,3,4,0,1,88,0,93,plant
15,Dominica,0,0,0,0,0,0,1,3,8,12,0,3,234,3,252,plant
16,Dominican Republic,0,0,0,1,0,1,7,16,30,53,0,8,428,8,497,plant
17,Grenada,0,0,0,0,0,0,0,1,3,4,0,3,173,0,180,plant
18,Guadeloupe,0,0,0,0,0,0,0,3,8,11,0,2,243,2,258,plant
19,Haiti,1,0,1,18,0,19,52,44,39,135,0,7,406,20,569,plant
20,Jamaica,2,0,2,0,0,2,43,54,118,215,0,76,416,7,716,plant
21,Martinique,0,0,0,0,0,0,0,3,7,10,0,3,237,2,252,plant
22,Montserrat,0,0,0,1,0,1,3,1,3,7,0,1,156,0,164,plant
23,Puerto Rico,0,0,0,0,0,0,23,23,22,68,0,17,396,4,485,plant
24,Saint Barthélemy,0,0,0,0,0,0,0,1,1,2,0,1,86,0,89,plant
25,Saint Kitts and Nevis,0,0,0,0,0,0,0,0,2,2,0,1,128,2,133,plant
26,Saint Lucia,0,0,0,0,0,0,0,2,6,8,0,3,207,1,219,plant
