,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species
0,Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
1,Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
2,French Southern Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
3,Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
4,South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
5,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
6,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
7,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
8,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
9,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
10,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
11,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
12,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
13,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,fungus
14,Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
15,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
16,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
17,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
18,Guadeloupe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
19,Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
20,Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
21,Martinique,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
22,Montserrat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
23,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,fungus
24,Saint Barthélemy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
25,Saint Kitts and Nevis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
26,Saint Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
27,Saint Martin (French part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
28,Saint Vincent and the Grenadines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
29,Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
30,Trinidad and Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
31,Turks and Caicos Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
32,"Virgin Islands, British",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
33,"Virgin Islands, U.S.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
34,China,0,0,0,0,0,0,0,1,7,8,0,5,19,1,33,fungus
35,Hong Kong,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus
36,Japan,0,0,0,0,0,0,0,4,8,12,0,9,25,2,48,fungus
37,"Korea, Democratic People's Republic of",0,0,0,0,0,0,0,1,1,2,0,0,13,0,15,fungus
38,"Korea, Republic of",0,0,0,0,0,0,0,1,2,3,0,4,17,0,24,fungus
39,Macao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus
40,Mongolia,0,0,0,0,0,0,0,1,3,4,0,0,6,1,11,fungus
