,index,Unnamed: 0,Unnamed: 0.1,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species,CODE
0,0,0,0,Antarctica,0,0,0,0,0,0,0,1,7,8,0,5,162,35,210,animal,ATA
1,4,4,1,Bouvet Island,0,0,0,0,0,0,0,0,2,2,0,0,93,3,98,animal,BVT
2,8,8,2,French Southern Territories,1,0,1,0,0,1,3,10,16,29,0,7,977,54,"1,068",animal,ATF
3,12,12,3,Heard Island and McDonald Islands,0,0,0,0,0,0,0,4,9,13,0,1,125,6,145,animal,HMD
4,16,16,4,South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,4,5,9,0,6,195,12,222,animal,SGS
5,20,20,5,Anguilla,1,0,1,0,0,1,9,14,35,58,0,23,"1,156",67,"1,305",animal,AIA
6,24,24,6,Antigua and Barbuda,3,0,3,0,0,3,12,14,37,63,0,29,"1,274",68,"1,437",animal,ATG
7,28,28,7,Aruba,0,0,0,0,0,0,7,10,30,47,0,23,"1,111",55,"1,236",animal,ABW
8,32,32,8,Bahamas,2,0,2,1,0,3,14,22,52,88,0,41,"1,711",116,"1,958",animal,BHS
9,36,36,9,Barbados,1,0,1,3,0,4,13,14,35,62,0,32,"1,277",70,"1,442",animal,BRB
10,40,40,10,Bermuda,5,0,5,1,1,7,31,12,30,73,0,25,947,70,"1,120",animal,BMU
11,44,44,11,"Bonaire, Sint Eustatius and Saba",1,0,1,0,0,1,11,12,42,65,0,25,"1,232",75,"1,398",animal,BES
12,48,48,12,Cayman Islands,2,0,2,0,0,2,11,19,32,62,0,32,"1,182",70,"1,348",animal,CYM
13,52,52,13,Cuba,7,0,7,3,0,10,37,69,82,188,0,69,"1,782",130,"2,176",animal,CUB
14,56,56,14,Curaçao,0,0,0,0,0,0,10,14,36,60,0,24,"1,125",77,"1,286",animal,CUW
15,60,60,15,Dominica,1,0,1,1,0,2,11,17,37,65,0,34,"1,306",72,"1,478",animal,DMA
16,64,64,16,Dominican Republic,9,0,9,6,0,15,32,62,66,160,0,56,"1,462",79,"1,766",animal,DOM
17,68,68,17,Grenada,0,0,0,0,0,0,10,14,38,62,0,28,"1,252",72,"1,414",animal,GRD
18,72,72,18,Guadeloupe,7,0,7,2,0,9,13,20,42,75,0,36,"1,235",70,"1,423",animal,GLP
19,76,76,19,Haiti,10,0,10,13,0,23,61,53,66,180,0,54,"1,406",75,"1,725",animal,HTI
20,80,80,20,Jamaica,3,0,3,5,0,8,25,41,45,111,0,46,"1,328",79,"1,567",animal,JAM
21,84,84,21,Martinique,6,0,6,3,0,9,10,15,29,54,0,27,"1,209",61,"1,357",animal,MTQ
22,88,88,22,Montserrat,0,0,0,1,0,1,9,12,36,57,0,26,"1,169",58,"1,310",animal,MSR
23,92,92,23,Puerto Rico,5,0,5,4,0,9,19,23,40,82,0,41,"1,495",85,"1,708",animal,PRI
24,96,96,24,Saint Barthélemy,0,0,0,0,0,0,6,10,27,43,0,14,815,38,910,animal,BLM
25,100,100,25,Saint Kitts and Nevis,1,0,1,0,0,1,10,11,37,58,0,29,"1,225",65,"1,378",animal,KNA
26,104,104,26,Saint Lucia,3,0,3,0,0,3,10,21,35,66,0,31,"1,274",62,"1,436",animal,LCA
27,108,108,27,Saint Martin (French part),0,0,0,1,0,1,9,11,35,55,0,19,"1,038",65,"1,177",animal,MAF
28,112,112,28,Saint Vincent and the Grenadines,1,0,1,0,0,1,9,16,38,63,0,29,"1,302",68,"1,463",animal,VCT
29,116,116,29,Sint Maarten (Dutch part),0,0,0,1,0,1,9,11,35,55,0,17,"1,016",58,"1,146",animal,SXM
30,120,120,30,Trinidad and Tobago,0,0,0,0,0,0,14,18,49,81,1,38,"1,906",89,"2,115",animal,TTO
31,124,124,31,Turks and Caicos Islands,0,0,0,0,0,0,7,14,37,58,0,28,"1,195",67,"1,348",animal,TCA
32,128,128,32,"Virgin Islands, British",0,0,0,2,0,2,14,15,38,67,0,29,"1,263",72,"1,431",animal,VGB
33,132,132,33,"Virgin Islands, U.S.",1,0,1,5,0,6,11,16,30,57,0,29,"1,243",71,"1,401",animal,VIR
34,136,136,34,China,4,1,5,17,0,22,105,198,314,617,1,247,"4,316","1,045","6,231",animal,CHN
35,140,140,35,Hong Kong,0,0,0,1,0,1,13,24,40,77,1,30,940,91,"1,139",animal,HKG
36,144,144,36,Japan,14,1,15,1,0,16,46,149,256,451,3,267,"3,372",508,"4,616",animal,JPN
37,148,148,37,"Korea, Democratic People's Republic of",1,0,1,0,0,1,7,26,47,80,0,37,718,72,908,animal,PRK
38,152,152,38,"Korea, Republic of",1,0,1,0,0,1,12,39,61,112,0,50,"1,242",108,"1,513",animal,KOR
39,156,156,39,Macao,0,0,0,0,0,0,5,10,11,26,0,5,402,31,464,animal,MAC
40,160,160,40,Mongolia,0,0,0,0,0,0,5,11,24,40,0,29,546,10,625,animal,MNG
41,164,164,41,"Taiwan, Province of China",0,0,0,0,0,0,21,69,221,311,2,214,"2,997",308,"3,832",animal,TWN
42,168,168,42,Åland Islands,0,0,0,0,0,0,0,0,0,0,0,0,17,1,18,animal,ALA
43,172,172,43,Albania,1,0,1,1,0,2,19,49,72,140,0,88,"1,045",79,"1,353",animal,ALB
44,176,176,44,Andorra,0,0,0,0,0,0,0,3,11,14,0,20,309,7,350,animal,AND
45,180,180,45,Austria,3,0,3,4,0,7,24,29,52,105,0,81,851,66,"1,106",animal,AUT
46,184,184,46,Belgium,1,0,1,0,0,1,6,6,32,44,0,48,704,38,835,animal,BEL
47,188,188,47,Bosnia and Herzegovina,0,0,0,0,0,0,9,29,62,100,0,69,908,89,"1,166",animal,BIH
48,192,192,48,Bulgaria,0,0,0,0,0,0,16,19,73,108,0,86,938,72,"1,204",animal,BGR
49,196,196,49,Croatia,1,0,1,3,0,4,34,42,105,181,0,99,"1,208",124,"1,613",animal,HRV
50,200,200,50,Czechia,0,0,0,0,0,0,4,10,31,45,0,55,706,39,845,animal,CZE
51,204,204,51,Denmark,0,0,0,0,0,0,7,9,36,52,0,42,688,32,814,animal,DNK
52,208,208,52,Estonia,0,0,0,0,0,0,2,4,17,23,0,29,517,9,578,animal,EST
53,212,212,53,Faroe Islands,1,0,1,0,0,1,3,5,19,27,0,16,300,20,364,animal,FRO
54,216,216,54,Finland,0,0,0,0,0,0,4,3,23,30,0,38,537,14,619,animal,FIN
55,220,220,55,France,8,0,8,6,0,14,30,63,169,262,0,159,"1,943",287,"2,659",animal,FRA
56,224,224,56,Germany,4,0,4,5,0,9,18,29,62,109,0,83,939,82,"1,217",animal,DEU
57,228,228,57,Gibraltar,0,0,0,0,0,0,5,8,30,43,0,20,530,32,625,animal,GIB
58,232,232,58,Greece,4,0,4,11,1,16,77,114,250,441,0,161,"1,528",264,"2,398",animal,GRC
59,236,236,59,Greenland,1,0,1,0,0,1,2,5,20,27,0,8,217,20,273,animal,GRL
60,240,240,60,Guernsey,0,0,0,0,0,0,1,1,11,13,0,3,197,12,225,animal,GGY
61,244,244,61,Holy See (Vatican City State),0,0,0,0,0,0,0,0,2,2,0,3,21,2,28,animal,VAT
62,247,560,140,Bolivia,0,0,0,9,0,9,35,34,88,157,2,98,"2,312",132,"2,701",animal,BOL
63,248,248,62,Hungary,0,0,0,0,0,0,7,15,41,63,0,54,693,47,857,animal,HUN
64,252,252,63,Iceland,1,0,1,0,0,1,5,8,20,33,0,19,353,27,433,animal,ISL
65,256,256,64,Ireland,1,0,1,0,0,1,9,11,37,57,0,37,768,65,928,animal,IRL
66,260,260,65,Isle of Man,0,0,0,0,0,0,1,2,4,7,0,3,79,6,95,animal,IMN
67,264,264,66,Italy,3,0,3,7,0,10,48,97,181,326,0,199,"1,619",263,"2,410",animal,ITA
68,268,268,67,Jersey,0,0,0,0,0,0,1,1,12,14,0,2,204,12,232,animal,JEY
69,272,272,68,Latvia,0,0,0,0,0,0,2,4,25,31,0,39,556,16,642,animal,LVA
70,276,276,69,Liechtenstein,0,0,0,0,0,0,0,1,7,8,0,24,396,7,435,animal,LIE
71,280,280,70,Lithuania,0,0,0,0,0,0,2,3,21,26,0,34,541,15,616,animal,LTU
72,284,284,71,Luxembourg,0,0,0,0,0,0,2,3,7,12,0,22,451,12,497,animal,LUX
73,288,288,72,Malta,0,0,0,0,0,0,8,9,31,48,0,27,563,42,680,animal,MLT
74,292,292,73,Monaco,0,0,0,0,0,0,6,7,23,36,0,13,382,26,457,animal,MCO
75,296,296,74,Montenegro,1,0,1,1,0,2,17,31,59,107,0,87,978,82,"1,255",animal,MNE
76,300,300,75,Netherlands,1,0,1,0,0,1,8,5,33,46,0,49,752,37,885,animal,NLD
77,304,304,76,North Macedonia,2,0,2,2,0,4,19,35,67,121,0,60,725,49,957,animal,MKD
78,308,308,77,Norway,0,0,0,0,0,0,7,11,40,58,0,46,661,30,795,animal,NOR
79,312,312,78,Poland,1,0,1,0,0,1,3,13,36,52,0,59,756,34,902,animal,POL
80,316,316,79,Portugal,6,0,6,17,0,23,107,94,133,334,0,123,"1,698",290,"2,451",animal,PRT
81,320,320,80,Romania,2,0,2,2,0,4,19,28,76,123,0,74,930,74,"1,203",animal,ROU
