Year,Threatened_category,Classification_organism,Number_of_Species
1996,CR,Mammals,169
1996,EN,Mammals,315
1996,VU,Mammals,612
1996,CR,Birds,168
1996,EN,Birds,235
1996,VU,Birds,704
1996,CR,Amphibians,18
1996,EN,Amphibians,31
1996,VU,Amphibians,75
1996,CR,Fishes,157
1996,EN,Fishes,134
1996,VU,Fishes,443
1996,CR,  Insects,44
1996,EN,  Insects,116
1996,VU,  Insects,377
1996,CR,Molluscs,257
1996,EN,Molluscs,212
1996,VU,Molluscs,451
1996,CR,Other invertebrates,57
1996,EN,Other invertebrates,76
1996,VU,Other invertebrates,300
1996,CR,Plants,909
1996,EN,Plants,1197
1996,VU,Plants,3222
1996,CR,Fungi &protists,0
1996,EN,Fungi &protists,0
1996,VU,Fungi &protists,0
1996,CR,TOTAL,1820
1996,EN,TOTAL,2375
1996,VU,TOTAL,6337
1998,CR,Mammals,169
1998,EN,Mammals,315
1998,VU,Mammals,612
1998,CR,Birds,168
1998,EN,Birds,235
1998,VU,Birds,704
1998,CR,Amphibians,18
1998,EN,Amphibians,31
1998,VU,Amphibians,75
1998,CR,Fishes,157
1998,EN,Fishes,134
1998,VU,Fishes,443
1998,CR,  Insects,44
1998,EN,  Insects,116
1998,VU,  Insects,377
1998,CR,Molluscs,257
1998,EN,Molluscs,212
1998,VU,Molluscs,451
1998,CR,Other invertebrates,57
1998,EN,Other invertebrates,76
1998,VU,Other invertebrates,300
1998,CR,Plants,909
1998,EN,Plants,1197
1998,VU,Plants,3222
1998,CR,Fungi &protists,0
1998,EN,Fungi &protists,0
1998,VU,Fungi &protists,0
1998,CR,TOTAL,1820
1998,EN,TOTAL,2375
1998,VU,TOTAL,6337
2000,CR,Mammals,180
2000,EN,Mammals,340
2000,VU,Mammals,610
2000,CR,Birds,182
2000,EN,Birds,321
2000,VU,Birds,680
2000,CR,Amphibians,25
2000,EN,Amphibians,38
2000,VU,Amphibians,83
2000,CR,Fishes,156
2000,EN,Fishes,144
2000,VU,Fishes,452
2000,CR,  Insects,45
2000,EN,  Insects,118
2000,VU,  Insects,392
2000,CR,Molluscs,222
2000,EN,Molluscs,237
2000,VU,Molluscs,479
2000,CR,Other invertebrates,59
2000,EN,Other invertebrates,76
2000,VU,Other invertebrates,300
2000,CR,Plants,1014
2000,EN,Plants,1266
2000,VU,Plants,3331
2000,CR,Fungi &protists,0
2000,EN,Fungi &protists,0
2000,VU,Fungi &protists,0
2000,CR,TOTAL,1939
2000,EN,TOTAL,2614
2000,VU,TOTAL,6488
2002,CR,Mammals,181
2002,EN,Mammals,339
2002,VU,Mammals,617
2002,CR,Birds,182
2002,EN,Birds,326
2002,VU,Birds,684
2002,CR,Amphibians,30
2002,EN,Amphibians,37
2002,VU,Amphibians,90
2002,CR,Fishes,157
2002,EN,Fishes,143
2002,VU,Fishes,442
2002,CR,  Insects,46
2002,EN,  Insects,118
2002,VU,  Insects,393
2002,CR,Molluscs,222
2002,EN,Molluscs,236
2002,VU,Molluscs,481
2002,CR,Other invertebrates,59
2002,EN,Other invertebrates,77
2002,VU,Other invertebrates,300
2002,CR,Plants,1046
2002,EN,Plants,1291
2002,VU,Plants,3377
2002,CR,Fungi &protists,0
2002,EN,Fungi &protists,0
2002,VU,Fungi &protists,0
2002,CR,TOTAL,1978
2002,EN,TOTAL,2646
2002,VU,TOTAL,6543
2003,CR,Mammals,184
2003,EN,Mammals,337
2003,VU,Mammals,609
2003,CR,Birds,182
2003,EN,Birds,331
2003,VU,Birds,681
2003,CR,Amphibians,30
2003,EN,Amphibians,37
2003,VU,Amphibians,90
2003,CR,Fishes,162
