,Unnamed: 0,Name,EX,EW,Subtotal (EX+EW),CR(PE),CR(PEW),Subtotal (EX+EW+ CR(PE)+CR(PEW)),CR,EN,VU,Subtotal (threatened spp.),LR/cd,NT or LR/nt,LC or LR/lc,DD,Total,species,CODE
0,0,Antarctica,0,0,0,0,0,0,0,1,7,8,0,5,162,35,210,animal,ATA
1,0,Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,plant,ATA
2,0,Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ATA
3,42,Åland Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,fungus,ALA
4,1,Bouvet Island,0,0,0,0,0,0,0,0,2,2,0,0,93,3,98,animal,BVT
5,1,Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,plant,BVT
6,1,Bouvet Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BVT
7,224,Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,fungus,AFG
8,2,French Southern Territories,1,0,1,0,0,1,3,10,16,29,0,7,977,54,"1,068",animal,ATF
9,2,French Southern Territories,0,0,0,0,0,0,0,1,0,1,0,0,7,0,8,plant,ATF
10,2,French Southern Territories,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ATF
11,43,Albania,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,fungus,ALB
12,3,Heard Island and McDonald Islands,0,0,0,0,0,0,0,4,9,13,0,1,125,6,145,animal,HMD
13,3,Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,plant,HMD
14,3,Heard Island and McDonald Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,HMD
15,98,Algeria,0,0,0,0,0,0,0,0,2,2,0,1,3,0,6,fungus,DZA
16,4,South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,4,5,9,0,6,195,12,222,animal,SGS
17,4,South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,plant,SGS
18,4,South Georgia and the South Sandwich Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,SGS
19,111,American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,ASM
20,5,Anguilla,1,0,1,0,0,1,9,14,35,58,0,23,"1,156",67,"1,305",animal,AIA
21,5,Anguilla,0,0,0,0,0,0,1,1,1,3,0,0,96,0,99,plant,AIA
22,5,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,AIA
23,44,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,23,0,23,fungus,AND
24,6,Antigua and Barbuda,3,0,3,0,0,3,12,14,37,63,0,29,"1,274",68,"1,437",animal,ATG
25,6,Antigua and Barbuda,0,0,0,0,0,0,0,2,1,3,0,1,180,1,185,plant,ATG
26,6,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ATG
27,172,Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,AGO
28,7,Aruba,0,0,0,0,0,0,7,10,30,47,0,23,"1,111",55,"1,236",animal,ABW
29,7,Aruba,0,0,0,0,0,0,0,2,3,5,0,1,65,0,71,plant,ABW
30,7,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,ABW
31,5,Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,AIA
32,8,Bahamas,2,0,2,1,0,3,14,22,52,88,0,41,"1,711",116,"1,958",animal,BHS
33,8,Bahamas,0,0,0,0,0,0,2,13,6,21,0,10,235,3,269,plant,BHS
34,8,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BHS
35,0,Antarctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,ATA
36,9,Barbados,1,0,1,3,0,4,13,14,35,62,0,32,"1,277",70,"1,442",animal,BRB
37,9,Barbados,0,0,0,0,0,0,0,1,3,4,0,0,138,2,144,plant,BRB
38,9,Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BRB
39,6,Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,ATG
40,10,Bermuda,5,0,5,1,1,7,31,12,30,73,0,25,947,70,"1,120",animal,BMU
41,10,Bermuda,0,1,1,0,0,1,2,5,1,8,0,1,42,1,53,plant,BMU
42,10,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BMU
43,139,Argentina,0,0,0,0,0,0,5,4,10,19,0,4,30,3,56,fungus,ARG
44,11,"Bonaire, Sint Eustatius and Saba",1,0,1,0,0,1,11,12,42,65,0,25,"1,232",75,"1,398",animal,BES
45,11,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,2,4,6,0,1,151,0,158,plant,BES
46,11,"Bonaire, Sint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,BES
47,225,Armenia,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,fungus,ARM
48,12,Cayman Islands,2,0,2,0,0,2,11,19,32,62,0,32,"1,182",70,"1,348",animal,CYM
49,12,Cayman Islands,0,0,0,0,0,0,11,7,5,23,0,4,163,3,193,plant,CYM
50,12,Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,CYM
51,7,Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,ABW
52,13,Cuba,7,0,7,3,0,10,37,69,82,188,0,69,"1,782",130,"2,176",animal,CUB
53,13,Cuba,8,1,9,0,0,9,31,66,90,187,0,13,539,4,752,plant,CUB
54,112,Australia,0,0,0,0,0,0,1,5,7,13,0,2,12,3,30,fungus,AUS
55,13,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,CUB
56,14,Curaçao,0,0,0,0,0,0,10,14,36,60,0,24,"1,125",77,"1,286",animal,CUW
57,14,Curaçao,0,0,0,0,0,0,0,1,3,4,0,1,88,0,93,plant,CUW
58,45,Austria,0,0,0,0,0,0,0,6,40,46,0,21,39,1,107,fungus,AUT
59,14,Curaçao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,CUW
60,15,Dominica,1,0,1,1,0,2,11,17,37,65,0,34,"1,306",72,"1,478",animal,DMA
61,15,Dominica,0,0,0,0,0,0,1,3,8,12,0,3,234,3,252,plant,DMA
62,15,Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,DMA
63,226,Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,fungus,AZE
64,16,Dominican Republic,9,0,9,6,0,15,32,62,66,160,0,56,"1,462",79,"1,766",animal,DOM
65,16,Dominican Republic,0,0,0,1,0,1,7,16,30,53,0,8,428,8,497,plant,DOM
66,8,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BHS
67,16,Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,DOM
68,17,Grenada,0,0,0,0,0,0,10,14,38,62,0,28,"1,252",72,"1,414",animal,GRD
69,17,Grenada,0,0,0,0,0,0,0,1,3,4,0,3,173,0,180,plant,GRD
70,17,Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,chromist,GRD
71,227,Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,fungus,BHR
72,18,Guadeloupe,7,0,7,2,0,9,13,20,42,75,0,36,"1,235",70,"1,423",animal,GLP
